filename, language, C, C++, Java, Batch, comment, blank, total
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Aload.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Areturn.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$ArrayLength.class, Java, 0, 0, 8, 0, 0, 0, 8
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Astore.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Getfield.class, Java, 0, 0, 7, 0, 0, 0, 7
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Goto.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$IAload.class, Java, 0, 0, 8, 0, 0, 0, 8
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$IAstore.class, Java, 0, 0, 8, 0, 0, 0, 8
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Iadd.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Iand.class, Java, 0, 0, 8, 0, 0, 0, 8
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Ificmplt.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Ifne.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Iload.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Imul.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Invokevirtual.class, Java, 0, 0, 10, 0, 0, 0, 10
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Ireturn.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Istore.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Isub.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$LabelJ.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Ldc.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$New.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$NewIntArray.class, Java, 0, 0, 8, 0, 0, 0, 8
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Print.class, Java, 0, 0, 9, 0, 0, 0, 9
c:\Users\Administrator\Desktop\compiler\Tiger\tiger_lab4\bin\codegen\bytecode\Ast$Stm$Putfield.class, Java, 0, 0, 7, 0, 0, 0, 7
